Name;Team;Cl;Position;G;Solo Tack;Asst Tack;TT;FF;Int;Int Ret Yds;Int Ret TDs;Rejected/Blocked;Targeted;Rank;Solo Sack;Asst Sack;Sack Yds;Tot Sack
Armani Marsh;Washington St.;Sr.;DB;12;48.0;22.0;70.0;;;;;;;;;;;
Chris Moore;Georgia St.;Sr.;DB;12;41.0;29.0;70.0;;;;;;;;;;;
Charlie Thomas;Georgia Tech;Jr.;LB;12;35.0;35.0;70.0;;;;;;;;;;;
Jermaine Johnson;Florida St.;Sr.;DE;12;34.0;36.0;70.0;;;;;;;;;;;
Cam Jones;Indiana;Sr.;LB;11;43.0;21.0;64.0;;;;;;;;;;;
Jack Howell;Colorado St.;Fr.;DB;11;41.0;23.0;64.0;;;;;;;;;;;
DeMarcco Hellams;Alabama;Jr.;DB;15;54.0;33.0;87.0;;;;;;;;;;;
Brandon Hill;Pittsburgh;So.;DB;14;37.0;44.0;81.0;;;;;;;;;;;
Isaiah Graham-Mobley;Boston College;Sr.;LB;9;34.0;18.0;52.0;;;;;;;;;;;
Cody Fletcher;Kansas St.;Sr.;LB;13;45.0;30.0;75.0;;;;;;;;;;;
Jeremiah Gemmel;North Carolina;Sr.;LB;13;44.0;31.0;75.0;;;;;;;;;;;
Joe Foucha;Arkansas;Sr.;DB;13;34.0;41.0;75.0;;;;;;;;;;;
Xavier Cullens;Memphis;Sr.;LB;12;44.0;25.0;69.0;;;;;;;;;;;
Kalen DeLoach;Florida St.;So.;LB;12;38.0;31.0;69.0;;;;;;;;;;;
Scott Patchan;Colorado St.;Sr.;DL;12;35.0;34.0;69.0;;;;;;;;;;;
Noah Taylor;Virginia;Sr.;LB;12;28.0;41.0;69.0;;;;;;;;;;;
Ryan Selig;Western Mich.;So.;LB;11;41.0;22.0;63.0;;;;;;;;;;;
Troy Lefeged Jr.;Texas St.;Sr.;S;11;33.0;30.0;63.0;;;;;;;;;;;
Andrew Behm;Akron;Fr.;LB;11;26.0;37.0;63.0;;;;;;;;;;;
Marvin Grant;Purdue;So.;S;13;52.0;22.0;74.0;;;;;;;;;;;
Brad Johnson;South Carolina;Sr.;LB;13;41.0;33.0;74.0;;;;;;;;;;;
Jordan Battle;Alabama;Jr.;DB;15;50.0;35.0;85.0;;;;;;;;;;;
Isaiah Lewis;Colorado;Jr.;DB;12;50.0;18.0;68.0;;;;;;;;;;;
Vincent Davis;South Fla.;Jr.;S;12;43.0;25.0;68.0;;;;;;;;;;;
Max Tooley;BYU;So.;LB;12;37.0;31.0;68.0;;;;;;;;;;;
Dwayne Boyles;South Fla.;Jr.;LB;12;36.0;32.0;68.0;;;;;;;;;;;
Cory Gross Jr.;Buffalo;Jr.;DB;12;34.0;34.0;68.0;;;;;;;;;;;
Jurriente Davis;Middle Tenn.;So.;LB;12;32.0;36.0;68.0;;;;;;;;;;;
DJ Lundy;Florida St.;Fr.;LB;12;32.0;36.0;68.0;;;;;;;;;;;
Christian Young;Arizona;Jr.;DB;12;28.0;40.0;68.0;;;;;;;;;;;
Verone McKinley III;Oregon;So.;DB;14;44.0;35.0;79.0;;;;;;;;;;;
Trey Taylor;Air Force;So.;DB;11;39.0;23.0;62.0;;;;;;;;;;;
Ji'Ayir Brown;Penn St.;Sr.;S;13;61.0;12.0;73.0;;;;;;;;;;;
Tae Daley;Virginia Tech;Sr.;S;13;47.0;26.0;73.0;;;;;;;;;;;
Alonzo Addae;West Virginia;Sr.;S;13;45.0;28.0;73.0;;;;;;;;;;;
Justus Rogers;Washington St.;Sr.;LB;13;40.0;33.0;73.0;;;;;;;;;;;
Payton Wilgar;BYU;So.;LB;10;29.0;27.0;56.0;;;;;;;;;;;
Jarius Reimonenq;Arkansas St.;So.;DB;12;44.0;23.0;67.0;;;;;;;;;;;
Mark Perry;Colorado;Jr.;DB;12;42.0;25.0;67.0;;;;;;;;;;;
Sterling Weatherford;Miami (OH);Sr.;DB;12;40.0;27.0;67.0;;;;;;;;;;;
Kendall Williamson;Stanford;Sr.;S;12;40.0;27.0;67.0;;;;;;;;;;;
Peter McIntyre;Northwestern;Sr.;LB;12;30.0;37.0;67.0;;;;;;;;;;;
Elijah Garcia;Rice;Sr.;DL;12;26.0;41.0;67.0;;;;;;;;;;;
Johnny Hodges;Navy;Jr.;LB;9;22.0;28.0;50.0;;;;;;;;;;;
Divaad Wilson;UCF;Jr.;DB;13;41.0;31.0;72.0;;;;;;;;;;;
Riko Jeffers;Texas Tech;Sr.;LB;13;40.0;32.0;72.0;;;;;;;;;;;
Qwuantrezz Knight;UCLA;Sr.;DB;12;48.0;18.0;66.0;;;;;;;;;;;
Ezekiel Noa;Boise St.;Sr.;LB;12;28.0;38.0;66.0;;;;;;;;;;;
DaShaun White;Oklahoma;Sr.;LB;12;28.0;38.0;66.0;;;;;;;;;;;
Jaydon Grant;Oregon St.;Jr.;DB;13;31.0;40.0;71.0;;;;;;;;;;;
Enock Makonzo;Coastal Carolina;Sr.;LB;13;30.0;41.0;71.0;;;;;;;;;;;
Marcus Fuqua;Buffalo;So.;DB;11;31.0;29.0;60.0;;;;;;;;;;;
Demani Richardson;Texas A&M;Jr.;DB;12;44.0;21.0;65.0;;;;;;;;;;;
Raheem Layne;Indiana;Sr.;DB;12;43.0;22.0;65.0;;;;;;;;;;;
Tariq Carpenter;Georgia Tech;Sr.;DB;12;40.0;25.0;65.0;;;;;;;;;;;
Naeem Smith;Rice;Sr.;S;12;32.0;33.0;65.0;;;;;;;;;;;
Akileis Leroy;Fla. Atlantic;Sr.;LB;12;31.0;34.0;65.0;;;;;;;;;;;
KJ Robertson;Troy;Jr.;LB;12;31.0;34.0;65.0;;;;;;;;;;;
Merlin Robertson;Arizona St.;Sr.;LB;12;30.0;35.0;65.0;;;;;;;;;;;
Ronald Wilson;New Mexico;Fr.;DB;10;29.0;25.0;54.0;;;;;;;;;;;
Cole Godbout;Wyoming;Jr.;DT;13;39.0;31.0;70.0;;;;;;;;;;;
Desjuan Johnson;Toledo;Jr.;DE;13;32.0;38.0;70.0;;;;;;;;;;;
Daquan Evans;South Fla.;So.;DB;11;43.0;16.0;59.0;;;;;;;;;;;
Kyu Blu Kelly;Stanford;Jr.;CB;11;43.0;16.0;59.0;;;;;;;;;;;
Mekhi LaPointe;South Fla.;Jr.;DB;11;38.0;21.0;59.0;;;;;;;;;;;
Michael Edwards III;Ga. Southern;Fr.;LB;11;27.0;32.0;59.0;;;;;;;;;;;
Jalen Pitre;Baylor;Sr.;S;14;56.0;19.0;75.0;;;;;;;;;;;
Trey Cobb;App State;Sr.;LB;14;33.0;42.0;75.0;;;;;;;;;;;
Nick Heninger;Utah St.;Sr.;DE;14;31.0;44.0;75.0;;;;;;;;;;;
